pathway,pH,temp,O2,redox
"pathway_id,description",7.0,298,0.21,0.0
"map01100,Metabolic pathways",7.0,298,0.21,0.0
"map01110,Biosynthesis of secondary metabolites",7.0,298,0.21,0.0
"map01120,Microbial metabolism in diverse environments",7.0,298,0.21,0.0
"map01200,Carbon metabolism",7.0,298,0.21,0.0
"map01210,2-Oxocarboxylic acid metabolism",7.0,298,0.21,0.0
"map01212,Fatty acid metabolism",7.0,298,0.21,0.0
"map01230,Biosynthesis of amino acids",7.0,298,0.21,0.0
"map01232,Nucleotide metabolism",7.0,298,0.21,0.0
"map01250,Biosynthesis of nucleotide sugars",7.0,298,0.21,0.0
"map01240,Biosynthesis of cofactors",7.0,298,0.21,0.0
"map01220,Degradation of aromatic compounds",7.0,298,0.21,0.0
"map01310,Nitrogen cycle",7.0,298,0.21,0.0
"map01320,Sulfur cycle",7.0,298,0.21,0.0
"map00010,Glycolysis / Gluconeogenesis",7.0,298,0.21,0.0
"map00020,Citrate cycle (TCA cycle)",7.0,298,0.21,0.0
"map00030,Pentose phosphate pathway",7.0,298,0.21,0.0
"map00040,Pentose and glucuronate interconversions",7.0,298,0.21,0.0
"map00051,Fructose and mannose metabolism",7.0,298,0.21,0.0
"map00052,Galactose metabolism",7.0,298,0.21,0.0
"map00053,Ascorbate and aldarate metabolism",7.0,298,0.21,0.0
"map00500,Starch and sucrose metabolism",7.0,298,0.21,0.0
"map00620,Pyruvate metabolism",7.0,298,0.21,0.0
"map00630,Glyoxylate and dicarboxylate metabolism",7.0,298,0.21,0.0
"map00640,Propanoate metabolism",7.0,298,0.21,0.0
"map00650,Butanoate metabolism",7.0,298,0.21,0.0
"map00660,C5-Branched dibasic acid metabolism",7.0,298,0.21,0.0
"map00562,Inositol phosphate metabolism",7.0,298,0.21,0.0
"map00190,Oxidative phosphorylation",7.0,298,0.21,0.0
"map00195,Photosynthesis",7.0,298,0.21,0.0
"map00196,Photosynthesis - antenna proteins",7.0,298,0.21,0.0
